255,255,253
255,255,248
255,255,239
255,252,237
255,239,203
254,254,254
254,254,254
253,253,253
252,241,211
252,236,174
251,246,240
251,234,227
251,210,192
250,238,226
250,223,214
249,236,184
249,230,190
248,240,177
248,229,187
248,212,190
247,246,244
247,222,158
247,219,205
246,244,229
246,233,227
245,251,225
245,243,246
245,239,241
244,238,224
244,213,159
243,227,202
242,231,227
241,237,226
241,227,216
240,239,221
240,225,144
240,223,215
240,222,182
238,221,211
238,218,191
238,212,185
237,224,189
237,219,235
237,207,205
236,231,228
236,219,209
236,210,175
236,196,135
235,222,178
235,219,220
234,210,176
234,206,109
234,204,204
233,204,198
232,219,202
232,216,154
232,202,212
231,212,182
230,207,189
229,214,217
225,217,214
225,191,182
225,188,195
224,192,177
223,185,138
222,191,144
222,189,148
219,189,197
216,196,169
216,185,167
214,190,128
213,178,174
212,189,171
211,191,130
211,163,99
210,178,181
210,172,159
210,164,148
209,181,107
207,174,95
206,177,135
204,183,156
204,179,175
204,179,149
203,175,138
202,180,143
200,155,152
197,171,144
196,176,185
196,162,152
193,166,159
193,151,137
191,160,116
190,144,128
189,147,122
188,164,162
184,160,194
183,152,158
182,147,117
179,135,110
178,165,172
178,136,124
174,149,144
174,145,69
174,138,102
171,146,106
170,128,90
169,136,117
169,132,113
168,132,108
165,143,102
156,128,89
154,125,109
153,121,134
148,107,87
145,127,139
143,120,79
143,116,87
131,109,95
98,79,73
