Image,5R 7/2,5R 8/4,7.5G 3/2,7.5GY 5/8,10YR 7/2,7.5BG 7/20,2.5G 3/2,2.5G 6/2,5YR 5/4,7.5YR 5/4,5YR 4/8,5GY 5/6,5R 6/2,5G 3/2,5YR 3/4,7.5YR 7/8,5R 8/2,2.5B 4/2,2.5R 8/2,5RP 7/8,2.5GY 6/2,5R 5/8,2.5YR 4/8,5YR 6/10,5RP 3/8,2.5G 7/4,5RP 6/2,5R 7/6,10B 5/20,2.5BG 6/2,10R 5/6,2.5Y 6/6,5RP 5/10,2.5GY 5/8,7.5GY 6/6,5GY 6/4,5G 6/6,7.5R 4/2,5R 5/6,7.5YR 8/4,2.5YR 6/6,2.5YR 5/4,7.5YR 6/2,5YR 7/8,10R 7/12,2.5BG 7/4,5R 5/4,5R 3/6,7.5YR 7/6,5RP 5/6,2.5GY 7/6,2.5YR 4/6,5G 7/4,5YR 8/4,10RP 3/16,5Y 5/2,2.5YR 5/8,5YR 6/8,7.5GY 7/6,2.5Y 6/8,5GY 4/6,2.5G 6/4,2.5GY 8/8,2.5GY 8/10,5G 3/4,2.5G 7/8,7.5P 5/30,2.5Y 7/4,2.5GY 8/16,5Y 8/6,7.5GY 7/2,7.5GY 3/2,5R 5/10,5R 6/10,10R 4/10,2.5Y 7/6,10G 4/30,5RP 4/4,2.5R 4/8,2.5BG 6/4,2.5R 7/8,2.5G 5/4,2.5YR 7/2,5YR 4/6,5RP 5/4,5R 3/10,7.5GY 4/2,2.5R 6/6,7.5GY 6/14,2.5GY 6/6,5YR 7/10,7.5G 4/6,7.5YR 6/6,5BG 4/14,2.5R 5/6,2.5R 7/6,2.5R 4/4,10R 6/2,2.5R 6/4,2.5R 6/2,5PB 4/40,2.5BG 7/2,5Y 7/10,5Y 6/8,2.5R 6/10,5P 3/20,2.5R 5/22,2.5BG 7/30,5RP 8/2,5YR 5/10,7.5GY 7/8,7.5BG 7/22,7.5BG 6/20,2.5YR 6/8,7.5GY 8/8,5GY 6/6,10R 4/8,5R 7/8,7.5YR 4/4,10BG 3/2,2.5YR 5/6,2.5R 5/4,2.5Y 5/2,2.5G 6/8,5R 3/4,7.5YR 4/2,5B 6/2,2.5RP 3/2,2.5GY 6/4,10GY 4/2,5GY 3/4,2.5R 4/10,10Y 5/14,10G 5/2,5Y 7/4,7.5B 1/10,7.5YR 6/10,5Y 5/6,5YR 4/4,2.5BG 4/2,5B 5/4,7.5GY 7/10,2.5G 5/2,2.5YR 7/4,5YR 3/2,2.5G 5/8,5G 6/4,2.5R 7/4,5B 3/4,5R 4/8,2.5PB 6/24,10R 7/8,2.5YR 3/6,5GY 6/8,2.5Y 8/4,5RP 8/6,7.5GY 5/4,2.5GY 8/4,7.5GY 5/6,7.5Y 8/2,7.5BG 6/10,10R 4/6,7.5YR 5/8,2.5Y 8/8,5RP 4/10,5RP 3/6,5Y 5/4,5G 5/6,5YR 5/6,10RP 5/22,2.5R 7/2,2.5G 7/2,5RP 6/8,7.5GY 8/4,5RP 6/6,5RP 5/2,7.5YR 8/2,5GY 8/20,5Y 8/2,2.5Y 5/6,5Y 8/4,10R 7/4,2.5Y 5/4,7.5YR 6/4,5GY 4/4,5R 6/6,2.5YR 3/4,5YR 6/4,7.5G 8/2,5Y 8/8,7.5YR 5/6,7.5B 7/2,2.5G 6/6,2.5GY 7/4,2.5GY 5/4,2.5Y 8/6,2.5G 8/6,2.5R 8/4,10G 4/26,2.5R 4/2,10BG 3/8,5RP 4/6,10BG 4/4,2.5R 5/8,7.5GY 6/2,10R 3/6,7.5GY 7/4,7.5R 7/18,5GY 7/8,5Y 7/6,2.5BG 5/6,5R 3/2,5G 4/2,5R 6/8,5RP 4/8,2.5GY 6/8,5YR 6/2,5RP 6/4,5YR 7/6,5GY 5/8,5Y 7/2,5G 5/4,2.5G 5/6,7.5P 1/24,2.5G 3/4,10R 5/2,10R 6/6,7.5GY 4/4,2.5RP 3/20,2.5GY 5/2,5GY 5/4,7.5YR 8/6,10R 6/10,2.5YR 4/4,7.5BG 4/10,5B 5/2,10R 7/6,10R 4/2,2.5G 8/2,10R 3/4,7.5GY 3/4,7.5YR 7/4,10R 4/4,5G 6/2,2.5GY 8/2,2.5YR 7/8,7.5GY 5/2,5Y 7/8,2.5BG 3/4,2.5GY 7/2,7.5Y 7/2,10BG 7/10,5G 4/4,10R 6/4,5R 3/8,5RP 4/2,5R 4/6,2.5G 7/6,5B 5/6,2.5YR 7/6,2.5GY 8/6,10R 5/4,5B 6/4,2.5BG 3/2,5GY 7/10,10R 5/8,10R 3/2,7.5GY 6/8,5RP 7/6,7.5GY 8/2,2.5P 8/8,5YR 5/8,5R 6/4,5RP 3/4,7.5GY 4/6,7.5YR 7/2,5Y 6/2,2.5GY 7/8,2.5G 8/4,7.5YR 6/8,5G 4/6,5GY 7/4,5G 5/2,5RP 7/4,5G 7/2,7.5GY 6/4,5YR 7/4,5R 4/4,5GY 7/6,5R 4/10,2.5YR 6/4,2.5R 5/2,10R 6/8,2.5BG 4/4,2.5Y 7/8,7.5GY 8/6,2.5GY 7/18,2.5GY 5/6,2.5Y 7/10,2.5Y 8/10,5R 7/4,7.5GY 6/10,2.5G 4/4,10PB 1/36,2.5RP 8/22,7.5YR 5/2,2.5BG 5/4,5RP 2/20,5Y 6/4,other
Dir1_2981 C1 W-HW 4 water,42.0,397.0,28.0,3518.0,5943.0,799.0,1418.0,1459.0,1470.0,0.0,418.0,1572.0,144.0,113.0,0.0,1603.0,197.0,1558.0,0.0,2146.0,243.0,14.0,0.0,0.0,647.0,559.0,96.0,0.0,1247.0,521.0,86.0,0.0,2.0,720.0,1534.0,0.0,692.0,282.0,1616.0,87.0,1143.0,5131.0,0.0,0.0,15.0,1044.0,48.0,53.0,27.0,204.0,55.0,173.0,983.0,118.0,1842.0,2.0,6.0,3047.0,7.0,220.0,36.0,228.0,135.0,0.0,0.0,73508.0,2486.0,5.0,418.0,3290.0,7205.0,22.0,1.0,253.0,278.0,197.0,407.0,39.0,1.0,1.0,6.0,1972.0,128.0,282.0,0.0,1799.0,275.0,0.0,337.0,0.0,0.0,87.0,0.0,229.0,78.0,503.0,3322.0,306.0,1564.0,0.0,1261.0,5.0,0.0,1.0,0.0,0.0,0.0,1797.0,0.0,759.0,1.0,70.0,9.0,652.0,598.0,1324.0,5.0,503.0,132.0,145.0,1077.0,2392.0,0.0,178.0,3268.0,1773.0,40091.0,750.0,2499.0,242.0,17.0,15665.0,334.0,1663.0,0.0,0.0,25.0,703.0,510.0,2.0,236.0,1099.0,1354.0,2414.0,0.0,14.0,445.0,0.0,1523.0,0.0,39.0,50.0,190.0,2519.0,2.0,1406.0,433.0,253.0,2981.0,7469.0,258.0,0.0,1.0,0.0,0.0,193.0,3.0,96.0,0.0,598.0,2859.0,12.0,2782.0,16.0,520.0,5438.0,601.0,4373.0,55.0,1574.0,632.0,980.0,791.0,1534.0,218.0,252.0,323.0,2507.0,14.0,30.0,4452.0,18.0,491.0,573.0,246.0,0.0,122.0,0.0,1588.0,243591.0,84.0,0.0,246.0,3317.0,404.0,4149.0,0.0,1372.0,472.0,0.0,1203.0,926.0,82.0,0.0,8.0,3583.0,431.0,11.0,26.0,3157.0,9.0,0.0,224.0,5.0,4168.0,148.0,981.0,2.0,3556.0,1581.0,0.0,82.0,726.0,544.0,613.0,32.0,5447.0,3919.0,161.0,306.0,1597.0,436.0,1495.0,1182.0,36.0,1445.0,13.0,0.0,2074.0,3733.0,1203.0,1.0,821.0,15.0,354.0,52.0,0.0,0.0,17.0,231.0,1064.0,24.0,423.0,43.0,23.0,5708.0,124.0,18.0,2805.0,0.0,3.0,355.0,210.0,79.0,2505.0,1393.0,127.0,2393.0,21.0,0.0,1863.0,674.0,199.0,2584.0,2000.0,1796.0,549.0,1757.0,118.0,681.0,1794.0,34.0,0.0,41.0,3181.0,3.0,155.0,0.0,0.0,577.0,2.0,2.0,0.0,19.0,1394.0,4.0,4683.0,949.0,7775609.0,2028.0
Dir1_2982 C1 W-HW 5 water,2427.0,47.0,9.0,0.0,5947.0,0.0,42.0,327.0,4934.0,3999.0,0.0,37.0,2725.0,514.0,319.0,49.0,3749.0,11.0,2590.0,0.0,529.0,127.0,1.0,0.0,0.0,66.0,1254.0,7.0,0.0,17.0,696.0,156.0,0.0,0.0,5.0,68.0,0.0,1490.0,179.0,2465.0,285.0,4391.0,8379.0,0.0,0.0,257.0,3696.0,386.0,223.0,21.0,251.0,47.0,108.0,2149.0,64.0,2205.0,47.0,1.0,334.0,4.0,0.0,0.0,0.0,0.0,0.0,1337.0,140568.0,3218.0,631.0,732.0,69.0,2945.0,5.0,1197.0,1446.0,1071.0,424.0,860.0,14.0,12.0,0.0,0.0,3376.0,673.0,780.0,0.0,132.0,130.0,7.0,7.0,0.0,800.0,251.0,145.0,208.0,168.0,675.0,5738.0,1307.0,2026.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,11.0,2372.0,0.0,0.0,0.0,1.0,0.0,0.0,228.0,507.0,781.0,1569.0,298.0,529.0,4284.0,4164.0,75.0,147.0,8159.0,21.0,24328.0,79.0,10.0,49.0,2.0,9751.0,144.0,2055.0,0.0,19.0,659.0,1944.0,0.0,0.0,0.0,471.0,4177.0,5033.0,0.0,278.0,1944.0,135.0,516.0,0.0,41.0,4.0,71.0,3398.0,0.0,0.0,5.0,0.0,1860.0,3912.0,215.0,82.0,0.0,0.0,97.0,211.0,473.0,195.0,79.0,1349.0,0.0,0.0,103.0,181.0,2052.0,7274.0,8.0,4096.0,171.0,2616.0,2227.0,2061.0,2419.0,82.0,136.0,445.0,1562.0,159.0,314.0,52.0,58.0,1.0,17.0,1082.0,604.0,195.0,437.0,4.0,3633.0,1105997.0,0.0,167.0,88.0,218.0,71.0,0.0,0.0,676.0,587.0,37.0,1820.0,29.0,7.0,0.0,0.0,7346.0,1538.0,2.0,0.0,3179.0,0.0,0.0,0.0,60.0,9933.0,78.0,2.0,4.0,2698.0,18.0,0.0,440.0,1793.0,204.0,16.0,0.0,10815.0,59.0,196.0,342.0,3693.0,745.0,1.0,215.0,0.0,150.0,0.0,5.0,624.0,3609.0,6371.0,408.0,3855.0,1.0,1281.0,15.0,0.0,16.0,3.0,188.0,2928.0,0.0,22.0,219.0,54.0,8711.0,56.0,10.0,67.0,3.0,281.0,1579.0,142.0,0.0,4650.0,1189.0,0.0,182.0,11.0,1.0,0.0,438.0,1057.0,0.0,433.0,5152.0,714.0,1291.0,895.0,3303.0,3886.0,0.0,670.0,31.0,0.0,0.0,12.0,1.0,199.0,2398.0,0.0,0.0,0.0,0.0,3305.0,518.0,11502.0,258623.0,6568520.0
Dir1_2983 C1 W-HW 6 water,1711.0,17.0,82.0,14.0,5750.0,108.0,71.0,255.0,3842.0,4859.0,965.0,537.0,1536.0,31.0,262.0,0.0,3064.0,10.0,2528.0,73.0,5197.0,0.0,0.0,0.0,0.0,3.0,464.0,0.0,0.0,65.0,22.0,199.0,0.0,438.0,1682.0,5651.0,0.0,1697.0,15.0,1640.0,23.0,2479.0,8806.0,0.0,0.0,1.0,1262.0,75.0,105.0,616.0,207.0,19.0,2.0,808.0,227.0,4231.0,14.0,272.0,4368.0,172.0,41.0,486.0,247.0,6.0,0.0,138.0,129925.0,4783.0,89.0,997.0,7554.0,1252.0,0.0,0.0,10.0,656.0,136.0,717.0,0.0,0.0,0.0,0.0,2457.0,48.0,285.0,22.0,2104.0,2.0,765.0,266.0,0.0,22.0,189.0,1.0,19.0,0.0,389.0,4040.0,238.0,1339.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,2967.0,1191.0,1146.0,0.0,0.0,203.0,1098.0,1217.0,0.0,1.0,880.0,15.0,49.0,1612.0,5533.0,8.0,46.0,7730.0,92.0,13057.0,1866.0,927.0,238.0,0.0,7970.0,95.0,4248.0,0.0,52.0,14.0,1162.0,31.0,796.0,289.0,116.0,993.0,3771.0,0.0,0.0,343.0,0.0,0.0,0.0,6.0,279.0,42.0,4072.0,145.0,2778.0,950.0,313.0,4839.0,7015.0,12.0,0.0,0.0,0.0,83.0,658.0,43.0,80.0,0.0,992.0,832.0,182.0,3586.0,3.0,872.0,5784.0,18.0,6154.0,59.0,3684.0,411.0,2857.0,1515.0,1954.0,9.0,126.0,466.0,187.0,34.0,24.0,360.0,499.0,1412.0,1957.0,581.0,2.0,89.0,0.0,4058.0,1207998.0,0.0,0.0,6.0,3519.0,132.0,7277.0,1406.0,1490.0,790.0,3.0,920.0,120.0,0.0,41.0,0.0,6053.0,311.0,54.0,1.0,4923.0,0.0,1.0,3.0,0.0,7354.0,145.0,1097.0,28.0,4849.0,4521.0,3.0,6.0,821.0,0.0,17.0,2.0,12419.0,1268.0,166.0,106.0,2061.0,420.0,228.0,2746.0,0.0,1289.0,5.0,251.0,5099.0,5983.0,1903.0,0.0,1113.0,0.0,1818.0,0.0,0.0,13.0,530.0,185.0,1239.0,0.0,126.0,5.0,0.0,6874.0,334.0,94.0,8976.0,7.0,0.0,281.0,136.0,12.0,3781.0,2466.0,40.0,43.0,6.0,990.0,5719.0,44.0,225.0,766.0,2758.0,1756.0,910.0,2565.0,0.0,860.0,2044.0,0.0,13.0,249.0,2220.0,242.0,33.0,0.0,0.0,490.0,1.0,0.0,0.0,0.0,3291.0,5.0,7789.0,118232.0,6587393.0
Dir1_2984 C1 W-HW 7 water,1439.0,1.0,3.0,0.0,5391.0,0.0,7.0,0.0,734.0,1526.0,0.0,0.0,1418.0,0.0,19.0,0.0,1553.0,2.0,2077.0,0.0,1554.0,1392.0,73.0,0.0,0.0,0.0,450.0,0.0,0.0,3142.0,39068.0,59.0,0.0,0.0,0.0,82.0,0.0,5767.0,5348.0,1191.0,41.0,237.0,6791.0,0.0,0.0,0.0,473.0,21.0,56.0,0.0,142.0,37.0,18.0,341.0,44.0,2118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,41449.0,3168.0,5.0,444.0,1122.0,3695.0,0.0,395.0,61.0,610.0,18.0,56.0,7.0,0.0,0.0,0.0,2388.0,0.0,29.0,0.0,141.0,209.0,0.0,3.0,0.0,1.0,17.0,257.0,547.0,23.0,284.0,5221.0,74.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2642.0,0.0,0.0,0.0,0.0,0.0,0.0,1811.0,525.0,0.0,87.0,196.0,65.0,446.0,3271.0,17.0,69.0,2045.0,44.0,20587.0,104.0,15.0,4.0,0.0,26427.0,4.0,4135.0,0.0,6.0,8.0,368.0,4.0,0.0,0.0,17.0,246.0,1017.0,0.0,5.0,125.0,29.0,547.0,0.0,1.0,3.0,0.0,3143.0,0.0,1.0,13.0,0.0,5123.0,11907.0,404.0,0.0,0.0,0.0,1.0,209.0,1.0,8.0,0.0,526.0,0.0,0.0,0.0,0.0,406.0,4842.0,0.0,6735.0,10.0,1968.0,80.0,951.0,265.0,60.0,84.0,18.0,126.0,0.0,1.0,2.0,229.0,0.0,2.0,169.0,589.0,0.0,1.0,0.0,969.0,606545.0,0.0,195.0,468.0,393.0,5.0,0.0,0.0,38.0,1363.0,0.0,195.0,33.0,8.0,0.0,0.0,4962.0,34.0,4.0,0.0,4933.0,0.0,0.0,0.0,0.0,4355.0,97.0,11.0,0.0,9240.0,6.0,0.0,12.0,1396.0,560.0,2.0,0.0,4379.0,16.0,61.0,6.0,787.0,1097.0,0.0,742.0,0.0,196.0,0.0,0.0,1334.0,4858.0,362.0,0.0,295.0,0.0,231.0,105.0,0.0,2.0,0.0,18.0,440.0,0.0,58.0,257.0,27.0,2320.0,0.0,2.0,397.0,0.0,0.0,123.0,4.0,0.0,3333.0,1241.0,0.0,0.0,0.0,0.0,9.0,0.0,17.0,0.0,0.0,594.0,774.0,0.0,0.0,244.0,1671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,73.0,0.0,0.0,0.0,0.0,1040.0,21.0,2956.0,46703.0,7439763.0
Dir2_2985 C1 W-HW 8 water,1436.0,46.0,344.0,0.0,4423.0,1932.0,894.0,2267.0,2350.0,1890.0,69.0,212.0,1067.0,134.0,178.0,0.0,1764.0,57.0,1792.0,0.0,11299.0,0.0,0.0,0.0,28.0,135.0,673.0,2.0,1.0,368.0,36.0,147.0,0.0,29.0,368.0,7813.0,0.0,552.0,95.0,1417.0,225.0,1929.0,5952.0,0.0,0.0,8.0,1296.0,94.0,421.0,439.0,1136.0,45.0,6.0,624.0,65.0,3564.0,212.0,70.0,5960.0,79.0,46.0,88.0,83.0,0.0,0.0,152.0,170974.0,8868.0,11.0,1062.0,18444.0,7969.0,0.0,0.0,6.0,1570.0,689.0,672.0,0.0,0.0,6.0,2.0,1969.0,121.0,503.0,12.0,5955.0,23.0,118.0,286.0,0.0,58.0,465.0,4.0,82.0,42.0,618.0,3154.0,467.0,1204.0,4.0,570.0,9.0,0.0,0.0,0.0,0.0,0.0,2208.0,27.0,419.0,1.0,11.0,8.0,457.0,662.0,0.0,0.0,610.0,98.0,115.0,1435.0,3249.0,31.0,152.0,3312.0,364.0,24286.0,2869.0,3927.0,723.0,0.0,22580.0,84.0,7682.0,0.0,12.0,6.0,1014.0,157.0,3.0,34.0,921.0,1820.0,2695.0,0.0,1.0,772.0,0.0,0.0,0.0,4.0,37.0,15.0,3770.0,17.0,1954.0,1476.0,82.0,3634.0,11410.0,63.0,2.0,2.0,3.0,9.0,220.0,37.0,147.0,0.0,934.0,4609.0,21.0,5455.0,25.0,627.0,4300.0,101.0,5787.0,7.0,4444.0,778.0,825.0,2331.0,5097.0,50.0,87.0,1095.0,1598.0,44.0,92.0,3203.0,21.0,3387.0,3224.0,711.0,4.0,114.0,0.0,1454.0,64225.0,4.0,0.0,0.0,17191.0,4.0,12992.0,91.0,657.0,1652.0,2.0,1983.0,346.0,0.0,1.0,0.0,3954.0,905.0,52.0,0.0,4143.0,0.0,7.0,45.0,0.0,3825.0,253.0,2315.0,0.0,9053.0,5229.0,0.0,6.0,1191.0,68.0,92.0,3.0,5187.0,6026.0,334.0,947.0,2987.0,685.0,1187.0,2505.0,0.0,5476.0,17.0,0.0,7101.0,5545.0,2385.0,0.0,1614.0,0.0,350.0,30.0,0.0,45.0,203.0,615.0,1347.0,26.0,250.0,6.0,0.0,6434.0,13.0,1.0,9962.0,158.0,5.0,648.0,410.0,10.0,3003.0,1827.0,49.0,1011.0,51.0,19.0,12426.0,339.0,758.0,3382.0,4581.0,2620.0,713.0,2962.0,0.0,1646.0,1596.0,0.0,84.0,101.0,2663.0,32.0,28.0,0.0,3.0,911.0,2.0,0.0,0.0,0.0,1326.0,31.0,5013.0,47433.0,7664291.0
Dir2_2986 C1 W-HW 9 water,3520.0,5.0,7.0,0.0,4757.0,2.0,7.0,1.0,2217.0,2794.0,0.0,0.0,2600.0,12.0,120.0,0.0,5260.0,1.0,4936.0,0.0,391.0,1531.0,122.0,0.0,0.0,0.0,1015.0,3.0,0.0,3.0,257.0,66.0,0.0,0.0,0.0,291.0,0.0,923.0,325.0,1017.0,2.0,1342.0,7055.0,0.0,0.0,4.0,1078.0,6.0,13.0,6.0,94.0,91.0,0.0,568.0,68.0,1978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,95042.0,2578.0,1.0,181.0,100.0,2177.0,0.0,0.0,1.0,178.0,1.0,387.0,44.0,0.0,0.0,0.0,3297.0,1.0,198.0,0.0,66.0,160.0,2.0,40.0,0.0,0.0,14.0,65.0,268.0,26.0,134.0,5105.0,221.0,2501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4345.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,273.0,2.0,614.0,4.0,1.0,1285.0,3809.0,4.0,26.0,6960.0,6.0,26678.0,205.0,13.0,5.0,1.0,9095.0,1.0,1941.0,0.0,4.0,6.0,597.0,2.0,0.0,0.0,6.0,992.0,6314.0,0.0,12.0,436.0,80.0,4527.0,0.0,43.0,3.0,0.0,1895.0,0.0,272.0,21.0,1.0,4635.0,6008.0,216.0,0.0,2.0,0.0,1.0,292.0,0.0,0.0,0.0,2078.0,0.0,0.0,0.0,0.0,1252.0,6726.0,0.0,6172.0,7.0,1378.0,304.0,1575.0,458.0,54.0,72.0,15.0,194.0,2.0,0.0,2.0,106.0,0.0,3.0,313.0,99.0,4.0,59.0,0.0,2506.0,560884.0,0.0,48.0,289.0,47.0,5.0,0.0,0.0,1.0,144.0,0.0,1107.0,12.0,1.0,0.0,0.0,6699.0,383.0,0.0,0.0,3237.0,0.0,0.0,0.0,0.0,8822.0,5.0,0.0,0.0,3572.0,295.0,0.0,0.0,506.0,439.0,1.0,0.0,11232.0,2.0,35.0,0.0,1200.0,168.0,0.0,861.0,0.0,16.0,0.0,0.0,1042.0,4045.0,4787.0,0.0,970.0,0.0,685.0,18.0,0.0,0.0,2.0,3.0,900.0,0.0,27.0,0.0,11.0,11140.0,9.0,12.0,157.0,0.0,2.0,310.0,100.0,0.0,3534.0,1258.0,0.0,0.0,0.0,0.0,23.0,6.0,330.0,0.0,9.0,1662.0,110.0,3.0,0.0,678.0,3208.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,5.0,508.0,0.0,0.0,0.0,0.0,3234.0,2.0,3692.0,10667.0,7484453.0
Dir2_3005 C1 W-HW 4 water,829.0,73.0,377.0,2.0,2349.0,5697.0,589.0,1548.0,1357.0,1301.0,100.0,376.0,799.0,108.0,57.0,1.0,1196.0,146.0,1273.0,0.0,1837.0,42.0,0.0,0.0,69.0,449.0,292.0,13.0,44.0,1030.0,17.0,114.0,3.0,117.0,636.0,1598.0,0.0,932.0,93.0,1136.0,78.0,1086.0,3553.0,0.0,9.0,7.0,1121.0,12.0,90.0,23.0,309.0,37.0,115.0,642.0,119.0,1441.0,8.0,18.0,2935.0,129.0,134.0,69.0,199.0,12.0,0.0,37.0,79515.0,2196.0,3.0,392.0,2812.0,5760.0,6.0,0.0,3.0,527.0,100.0,570.0,0.0,3.0,15.0,3.0,1315.0,21.0,198.0,6.0,1743.0,83.0,86.0,238.0,0.0,3.0,134.0,8.0,105.0,27.0,592.0,1880.0,287.0,775.0,34.0,1108.0,4.0,0.0,0.0,0.0,0.0,0.0,1539.0,40.0,738.0,35.0,32.0,48.0,505.0,557.0,24.0,0.0,270.0,128.0,58.0,1187.0,1717.0,2.0,43.0,2804.0,1441.0,24727.0,771.0,1982.0,163.0,0.0,9876.0,273.0,1931.0,0.0,26.0,10.0,445.0,408.0,47.0,177.0,978.0,815.0,1582.0,18.0,2.0,407.0,0.0,3.0,21.0,3.0,63.0,52.0,2591.0,21.0,961.0,569.0,161.0,2283.0,5743.0,30.0,0.0,0.0,0.0,0.0,253.0,2.0,68.0,0.0,445.0,3088.0,1.0,2700.0,4.0,462.0,4282.0,444.0,3418.0,26.0,1926.0,483.0,872.0,567.0,1233.0,79.0,12.0,349.0,2028.0,12.0,44.0,3797.0,0.0,560.0,667.0,292.0,11.0,140.0,0.0,2359.0,1518787.0,0.0,2.0,12.0,2757.0,12.0,3566.0,116.0,1212.0,532.0,0.0,637.0,706.0,9.0,8.0,3.0,2363.0,231.0,31.0,0.0,2298.0,0.0,87.0,178.0,0.0,3124.0,178.0,784.0,0.0,2404.0,1251.0,21.0,5.0,532.0,157.0,604.0,3.0,4300.0,3496.0,100.0,305.0,966.0,376.0,1316.0,966.0,2.0,1303.0,3.0,0.0,1556.0,2772.0,995.0,0.0,792.0,0.0,765.0,18.0,0.0,9.0,24.0,261.0,960.0,13.0,474.0,8.0,1.0,3734.0,61.0,4.0,3171.0,5.0,0.0,360.0,292.0,15.0,1604.0,1079.0,227.0,1965.0,20.0,0.0,1748.0,478.0,123.0,2593.0,2224.0,1166.0,506.0,1573.0,0.0,662.0,1396.0,0.0,3.0,83.0,2389.0,137.0,68.0,0.0,0.0,529.0,13.0,3.0,14.0,0.0,918.0,9.0,4642.0,29608.0,6533921.0
Dir2_3006 C1 W-HW 5 water,1810.0,250.0,0.0,0.0,3141.0,2.0,3.0,0.0,4619.0,3092.0,0.0,0.0,2034.0,36.0,791.0,5.0,2903.0,0.0,2108.0,0.0,89.0,1.0,0.0,0.0,0.0,0.0,970.0,14.0,0.0,12.0,100.0,959.0,0.0,0.0,0.0,16.0,0.0,1556.0,312.0,2839.0,533.0,4480.0,4266.0,0.0,0.0,5.0,3660.0,35.0,579.0,97.0,56.0,209.0,32.0,2147.0,497.0,1072.0,2.0,11.0,256.0,84.0,0.0,0.0,0.0,0.0,0.0,3.0,88711.0,2020.0,4.0,1121.0,8.0,1412.0,0.0,0.0,8.0,1514.0,843.0,1447.0,22.0,0.0,0.0,0.0,2364.0,573.0,1245.0,0.0,4.0,123.0,1.0,1.0,0.0,17.0,1217.0,6.0,325.0,22.0,972.0,3183.0,1365.0,987.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,1565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2565.0,23.0,409.0,4056.0,2113.0,8.0,224.0,7459.0,7.0,17297.0,12.0,0.0,1.0,0.0,4000.0,0.0,1183.0,0.0,11.0,14.0,2712.0,0.0,0.0,0.0,26.0,4951.0,4888.0,0.0,3.0,2279.0,27.0,13.0,0.0,15.0,9.0,0.0,3061.0,1.0,0.0,0.0,0.0,1082.0,2139.0,100.0,77.0,16.0,1.0,1.0,205.0,32.0,627.0,0.0,1127.0,0.0,0.0,44.0,45.0,1637.0,5565.0,0.0,2166.0,55.0,1635.0,2743.0,1526.0,2785.0,8.0,103.0,222.0,2436.0,84.0,79.0,582.0,32.0,0.0,0.0,108.0,1579.0,16.0,890.0,0.0,3806.0,1654218.0,4.0,1.0,1.0,5.0,1.0,0.0,0.0,2.0,803.0,0.0,2003.0,6.0,0.0,0.0,0.0,3833.0,1514.0,142.0,0.0,1377.0,0.0,0.0,0.0,0.0,6440.0,739.0,3.0,1.0,959.0,12.0,6.0,10.0,2285.0,134.0,39.0,29.0,7402.0,1.0,305.0,5.0,4313.0,1115.0,0.0,123.0,0.0,43.0,25.0,0.0,256.0,1205.0,5294.0,0.0,4270.0,0.0,1513.0,25.0,0.0,69.0,32.0,0.0,3703.0,0.0,13.0,0.0,0.0,9129.0,40.0,14.0,30.0,103.0,23.0,1665.0,299.0,0.0,2629.0,470.0,0.0,128.0,223.0,0.0,0.0,19.0,994.0,0.0,23.0,5896.0,981.0,0.0,4.0,4043.0,2296.0,0.0,166.0,378.0,0.0,0.0,0.0,0.0,0.0,2750.0,0.0,0.0,0.0,0.0,2123.0,12.0,13564.0,15165.0,6384846.0
