[233,189,189],
[213,196,196],
[237,149,152],
[221,157,158],
[205,163,164],
[189,169,169],
[222,115,123],
[239,253,306],
[195,130,132],
[179,137,138],
[163,142,143],
[94,87,99],
[182,96,103],
[168,103,107],
[154,110,112],
[137,117,117],
[165,58,76],
[154,68,80],
[142,97,83],
[129,84,87],
[114,90,91],
[234,189,185],
[214,196,194],
[238,149,144],
[223,157,152],
[207,163,159],
[190,169,167],
[223,115,112],
[209,123,119],
[196,130,126],
[181,137,134],
[164,142,141],
[196,87,86],
[183,96,94],
[170,103,101],
[155,110,108],
[188,117,115],
[166,59,63],
[155,69,69],
[143,77,76],
[130,84,82],
[114,90,89],
[139,24,43],
[128,40,48],
[116,51,53],
[105,58,59],
[90,65,65],
[239,151,121],
[224,158,136],
[208,163,149],
[191,169,162],
[222,118,83],
[209,125,98],
[196,131,111],
[182,137,123],
[165,142,136],
[165,142,136],
[182,98,72],
[170,105,85],
[155,111,98],
[139,117,111],
[164,64,36],
[154,72,50],
[142,79,62],
[130,85,74],
[115,91,85],
[115,53,41],
[104,60,51],
[90,66,61],
[236,154,111],
[223,159,127],
[208,164,144],
[207,128,87],
[195,133,103],
[181,138,118],
[179,101,61],
[167,107,78],
[154,112,94],
[150,75,38],
[140,81,54],
[129,86,68],
[113,56,32],
[102,61,46],
[233,192,162],
[217,196,182],
[240,153,79],
[230,157,100],
[219,161,119],
[206,165,138],
[191,169,156],
[211,127,53],
[202,131,75],
[192,135,94],
[179,139,113],
[165,143,130],
[182,101,26],
[174,105,49],
[164,109,70],
[152,113,88],
[138,117,105],
[144,79,27],
[136,83,47],
[127,87,63],
[113,92,79],
[99,63,42],
[88,67,56],
[243,190,137],
[230,194,158],
[216,197,179],
[253,158,66],
[225,161,90],
[215,164,112],
[203,167,133],
[190,170,153],
[204,131,37],
[197,134,65],
[188,137,88],
[176,141,109],
[164,144,128],
[169,108,39],
[161,111,63],
[150,115,84],
[137,118,103],
[124,89,58],
[112,92,77],
[243,193,67],
[237,195,97],
[229,196,123],
[221,198,148],
[211,199,172],
[215,167,37],
[209,168,72],
[203,169,99],
[195,171,123],
[185,172,147],
[182,142,45],
[175,143,73],
18,145,99],
[158,146,122],
[149,117,48],
[142,119,75],
[133,120,98],
[234,198,-33],
[252,255,264],
[226,199,89],
[220,200,118],
[214,200,145],
[208,200,171],
[204,171,19],
[199,172,65],
[194,173,94],
[188,173,120],
[182,173,146],
[173,145,36],
[168,146,69],
[83,104,33],
[88,101,56],
[63,76,37],
[165,215,117],
[173,212,138],
[181,209,158],
[190,205,177],
[128,191,71],
[138,188,95],
[147,185,116],
[156,182,135],
[164,178,153],
[100,164,44],
[111,161,70],
[121,158,92],
[130,155,111],
[138,152,128],
[85,135,48],
[95,132,69],
[104,129,88],
[113,125,105],
[69,106,45],
[78,103,64],
[88,100,81],
[55,78,44],
[64,75,59],
[144,216,164],
[164,211,176],
[181,206,187],
[98,193,131],
[121,188,142],
[139,184,151],
[156,179,161],
[69,166,108],
[94,162,117],
[113,158,127],
[130,153,136],
[34,139,86],
[68,135,94],
[162,147,96],
[155,147,121],
[142,120,44],
[136,121,72],
[129,121,97],
[196,210,-42],
[197,209,55],
[198,208,92],
[199,206,120],
[199,205,146],
[200,203,170],
[170,182,17],
[171,181,67],
[172,180,97],
[172,178,122],
[173,176,147],
[143,156,-34],
[144,155,37],
[145,153,72],
[146,152,99],
[147,150,122],
[118,128,3],
[119,127,48],
[120,126,76],
[121,124,99],
[154,186,40],
[158,184,77],
[162,182,103],
[166,180,126],
[127,160,-5],
[131,158,50],
[135,156,79],
[140,153,103],
[101,133,-37],
105,131,24],
[109,129,56],
[114,127,80],
[79,105,-10],
[95,131,109],
[109,127,122],
[43,109,76],
[67,105,78],
[86,102,88],
[46,80,57],
[59,77,63],
[146,221,175],
[170,217,184],
[183,209,191],
[124,190,149],
[144,188,159],
[158,182,165],
[93,160,122],
[112,158,129],
[131,154,140],
[28,138,92],
[66,133,99],
[90,130,106],
[103,125,112],
[61,106,81],
[78,100,87],
[38,79,59],
[60,77,69],
[166,218,190],
[186,213,198],
[124,196,160],
[132,184,160],
[157,183,168],
[85,158,128],
[111,158,133],
[133,156,141],
[57,131,102],
[85,133,111],
[106,129,117],
[20,111,80],
[60,107,86],
[83,103,92],
[33,81,63],
[61,78,70],
[134,192,178],
[153,185,176],
[80,170,156],
[100,160,146],
[124,150,146],
[45,138,128],
[77,130,122],
[130,126,122],
[11,112,102],
[51,106,101],
[76,100,97],
[4,85,80],
[24,78,74],
[57,77,75],
[162,219,221],
[186,212,213],
[108,198,203],
[135,192,194],
161,186,187],
[72,170,175],
[109,163,168],
[134,158,159],
[42,143,152],
[84,134,139],
[107,130,131],
[0,121,134],
[11,115,126],
[46,109,115],
[78,103,107],
[0,88,102],
[26,81,88],
[53,77,81],
[244,190,207],
[225,196,205],
[211,198,202],
[224,152,178],
[218,163,182],
[201,168,178],
[182,169,174],
[209,124,158],
[200,128,155],
[187,134,155],
[170,138,150],
[163,146,150],
[181,92,133],
[170,99,129],
[157,107,127],
[142,108,122],
[136,119,124],
[156,55,109],
[153,67,110],
[144,74,109],
[132,80,104],
[120,85,99],
[112,92,100],
[120,34,86],
[116,44,84],
[107,53,81],
[98,62,79],
[86,67,76]
